fits_file,streak_id,status,matched,satellite_name,min_angle_error,start_ra,start_dec,end_ra,end_dec,error,obs_time,candidate_1_name,candidate_1_separation,candidate_1_angle_error,candidate_2_name,candidate_2_separation,candidate_2_angle_error,candidate_3_name,candidate_3_separation,candidate_3_angle_error
frame-g-003362-4-0014,1,No match,FALSE,N/A,inf,21.89805147,0.321273792,22.04100548,0.213403434,FOVNotMatch,2002/10/5 9:29:13.00,SAT_4950U,4.826054255,26.03258107,SAT_04950,4.826050485,26.03611341,SAT_18571,2.973074517,33.10845553
frame-g-003362-4-0029,1,No match,FALSE,N/A,inf,24.14054311,0.376688519,24.3031924,0.295344154,FOVNotMatch,2002/10/5 9:38:11.00,SAT_18571,3.896275364,21.79647722,SAT_23016,5.890354065,26.52473977,SAT_25922,5.796629146,26.57603126
frame-g-003362-4-0030,1,No match,FALSE,N/A,inf,24.3168876,0.437636702,24.45253436,0.370194993,FOVNotMatch,2002/10/5 9:38:47.00,SAT_18571,3.896275364,21.66197532,SAT_23016,5.890354065,26.39023787,SAT_25922,5.796629146,26.44152936
frame-g-003362-1-0215,1,Success,TRUE,SAT_15219,0.246272273,51.98946417,-0.909547795,52.04603473,-0.896613884,,2002/10/5 11:29:14.00,SAT_15219,2.211953855,0.246272273,SAT_7815U,3.539543029,0.482031326,SAT_8330U,3.74370982,0.586512445
frame-g-003362-1-0216,1,Success,TRUE,SAT_7815U,0.201914476,52.13892567,-0.94301653,52.30170044,-0.906637403,,2002/10/5 11:29:50.00,SAT_7815U,3.539543029,0.201914476,SAT_8330U,3.74370982,0.306395595,SAT_08330,3.733535319,0.309070092
frame-g-003368-2-0014,1,Success,TRUE,SAT_15384,0.893734978,41.3852175,-0.4519197,41.54798529,-0.429564875,,2002/10/6 10:01:28.00,SAT_15384,5.387098787,0.893734978,SAT_12994,4.248172015,2.950645865,SAT_16497,4.865920671,4.385251354
frame-g-003384-5-0191,1,Success,TRUE,SAT_20674,3.185404062,333.2742636,0.66037156,333.3274208,0.665502111,,2002/10/10 5:38:24.00,SAT_20674,1.305614655,3.185404062,SAT_23877,5.99739734,5.561368369,SAT_26717,1.893519776,8.567913446
frame-g-003384-1-0181,1,Success,TRUE,SAT_27040,3.419198157,331.8797263,-0.919478963,331.9402093,-0.931074445,,2002/10/10 5:32:25.00,SAT_27040,5.558017143,3.419198157,SAT_27046,1.780352206,5.535974484,SAT_22101,4.915801502,6.526609252
frame-g-003384-1-0289,1,No match,FALSE,N/A,inf,348.0114054,-1.045244474,348.0589336,-1.013869574,FOVNotMatch,2002/10/10 6:36:54.00,SAT_3431U,4.446629338,19.27728492,SAT_2864U,4.903395386,20.26075274,SAT_02864,4.977619006,20.26455055
frame-g-003384-5-0577,1,No match,FALSE,N/A,inf,31.1099879,0.856319386,31.19448948,0.730029951,FOVNotMatch,2002/10/10 9:28:52.00,SAT_25771,5.664287457,14.05874269,SAT_23538,2.018143256,49.98606832,SAT_02864,3.684645463,65.05605853
